id,created_at,full_text,score
1,2020-04-09 23:59:51+00:00,"@KennyDegu very very little volume. With $10T you'd think they could have $SPX  trading at 10,000 by now.",-0.699999988079071
2,2020-04-09 23:58:55+00:00,"#ES_F achieved Target 2780 closing above 50% #Fibonacci  level, momentum still up. possible push towards 2842-2886 next week. $SPX $SPY  #tradign #futures https://t.co/wD2A0102nC",0.0
3,2020-04-09 23:58:52+00:00,RT @KimbleCharting: Silver/Gold indicator creates one of the largest bullish reversal patterns in decades while testing multi-decade suppor…,-0.20000000298023224
4,2020-04-09 23:58:27+00:00,@Issaquahfunds Hedged our $MSFT position into close. Seemed to be getting lazy over this past week.,-0.4000000059604645
5,2020-04-09 23:57:59+00:00,RT @zipillinois: 3 Surprisingly Controversial Stocks in Donald Trump's Portfolio @themotleyfool #stocks $GILD $MO https://t.co/d9hlJnSRN3,0.10000000149011612
6,2020-04-09 23:57:33+00:00,"RT @Crypto____World: 🇿🇼ZIMBABWE🇿🇼

CRYPTO NEWS🌍

Government teams up with Apollo to launch national cryptocurrency🌍

#apollocurrency #crypt…",0.10000000149011612
7,2020-04-09 23:57:27+00:00,Pfizer Shares Acquired by Ipswich Investment Management $PFE https://t.co/gqXxIbbxIS,0.10000000149011612
10,2020-04-09 23:57:08+00:00,"RT @NorthmanTrader: I repeat: The Fed is recklessly distorting everything.
$JNK $SPX https://t.co/fDHaY5MKUW",-0.30000001192092896
12,2020-04-09 23:57:01+00:00,"S&amp;P 500 | $SPX | $SPX500 $USD

long term from 1940

Long or short it with BTC on Trade8: https://t.co/Yn1Wyxwotl https://t.co/TU21nc1eA5",0.0
13,2020-04-09 23:56:58+00:00,"RT @TDANetwork: 📽️ #TheWatchList panel assesses the big questions $AAPL will face over the next 6 months. 🍎📱

@LanceUlanoff and @mattswider…",0.0
14,2020-04-09 23:56:51+00:00,"$UMRX bouncing. EXTREMELY OVERSOLD #Coronavirus💸
$DECN $OPGN $CODX $HTBX $TNXP $BA $APRN $JNUG $PCTL $BIEI $AAPL $NBY $UBER $WTRH $NOVN $TSLA $XSPA $INO $ASTC $MRNA $GPMT $SPXS $SPY $QQQ $NUGT $BURG $VXRT $TVIX $IBIO $ACB $TLRY $CLIR $BKYI $TOPS $NVAX $GME $TTOO $AYTU $TNXP💸📈 https://t.co/1R1e8PlfMw",0.0
15,2020-04-09 23:56:43+00:00,RT @cloudymeadows: Somebody needs to have an adult conversation with Sen.Kevin Cramer (R-ND) &amp; tell that asshole to his face that it’s not…,-0.699999988079071
